Dam_ID,Dam_Name,Station_Index,Station_Name,Distance_Downstream_km,Latitude,Longitude,Bed_Elevation_m,Station_Type,Population_Exposed,SPH_Arrival_hr,Delft3D_Arrival_hr,Evacuation_Deadline,Peak_Flood_Depth_m,Peak_Velocity_mps,Danger_Classification,Data_Source
kosi,Kosi River Embankment (Kusaha Reach),1,Kusaha Breach Site,0.0,26.5298,86.9387,78,dam,0,0.0,0.0,T+00h 00m,8.5,12.91,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
kosi,Kosi River Embankment (Kusaha Reach),2,Bhimnagar Barrage Road,5.0,26.502,86.945,75,infrastructure,4200,0.13,0.45,T+00h 08m,6.77,11.32,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
kosi,Kosi River Embankment (Kusaha Reach),3,Pratapganj Sector,14.0,26.41,86.88,70,village,15000,0.37,1.25,T+00h 22m,4.5,8.93,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
kosi,Kosi River Embankment (Kusaha Reach),4,Raghopur Rural Inundation,26.0,26.27,86.78,64,town,32000,0.68,2.33,T+00h 41m,2.61,6.51,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
kosi,Kosi River Embankment (Kusaha Reach),5,Supaul District Headquarters,40.0,26.12,86.62,58,city,68000,1.05,3.58,T+01h 03m,1.38,4.51,Low Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
kosi,Kosi River Embankment (Kusaha Reach),6,Madhepura Floodplain Basin,55.0,25.92,86.79,51,city,95000,1.44,4.92,T+01h 26m,1.2,3.04,Low Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
phuktal,Phuktal River Landslide Dam (Zanskar 2015),1,Sumdo Landslide Dam Axis,0.0,33.2685,77.165,3850,dam,0,0.0,0.0,T+00h 00m,52.0,22.0,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
phuktal,Phuktal River Landslide Dam (Zanskar 2015),2,Phuktal Gompa Gorge Bridge,7.5,33.285,77.12,3720,bridge,120,0.12,0.1,T+00h 07m,36.98,18.06,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
phuktal,Phuktal River Landslide Dam (Zanskar 2015),3,Cha Village Sector,18.0,33.35,77.01,3610,village,340,0.28,0.25,T+00h 17m,22.94,13.7,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
phuktal,Phuktal River Landslide Dam (Zanskar 2015),4,Anmu / Purne Confluence,29.0,33.4,76.96,3560,confluence,680,0.45,0.4,T+00h 27m,13.92,10.26,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
phuktal,Phuktal River Landslide Dam (Zanskar 2015),5,Padum District HQ & Pipiting Bridge,42.0,33.465,76.885,3520,town,4200,0.65,0.57,T+00h 39m,7.71,7.28,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
wapriyang,Wapriyang River Blockage (Arunachal 2021),1,Wapriyang Landslide Axis,0.0,28.485,94.882,740,dam,0,0.0,0.0,T+00h 00m,38.0,22.0,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
wapriyang,Wapriyang River Blockage (Arunachal 2021),2,Upper Siang Gorge Crossing,6.5,28.44,94.92,610,bridge,350,0.1,0.09,T+00h 06m,28.28,18.54,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
wapriyang,Wapriyang River Blockage (Arunachal 2021),3,Yingkiong Suspension Bridge,15.0,28.38,94.98,480,infrastructure,2100,0.23,0.21,T+00h 14m,19.22,14.82,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
wapriyang,Wapriyang River Blockage (Arunachal 2021),4,Tuting-Yingkiong Highway Corridor,28.0,28.29,95.07,360,village,4800,0.43,0.38,T+00h 26m,10.64,10.53,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
wapriyang,Wapriyang River Blockage (Arunachal 2021),5,Pasighat Valley Confluence Reach,45.0,28.08,95.33,240,town,28000,0.69,0.62,T+00h 41m,4.91,6.73,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
kashmir_jhelum,Jhelum River Basin / Srinagar Reach (2014 Flood),1,Sangam Gauging Axis & Embankment,0.0,33.725,75.148,1592,dam,0,0.0,0.0,T+00h 00m,13.0,15.97,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
kashmir_jhelum,Jhelum River Basin / Srinagar Reach (2014 Flood),2,Awantipora National Highway Corridor,8.0,33.82,75.05,1588,infrastructure,16000,0.17,0.48,T+00h 10m,9.04,12.94,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
kashmir_jhelum,Jhelum River Basin / Srinagar Reach (2014 Flood),3,Pampore Saffron Belt Settlement,18.0,33.95,74.93,1585,town,34000,0.38,1.09,T+00h 23m,5.74,9.94,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
kashmir_jhelum,Jhelum River Basin / Srinagar Reach (2014 Flood),4,Srinagar City Center (Lal Chowk / Rajbagh),28.0,34.0836,74.7973,1582,city,185000,0.59,1.69,T+00h 35m,3.64,7.64,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
kashmir_jhelum,Jhelum River Basin / Srinagar Reach (2014 Flood),5,Shadipora Confluence (Sindh River Entry),42.0,34.18,74.65,1578,confluence,42000,0.89,2.54,T+00h 53m,1.93,5.29,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
kashmir_jhelum,Jhelum River Basin / Srinagar Reach (2014 Flood),6,Wular Lake Ingress Delta,56.0,34.35,74.52,1575,infrastructure,22000,1.19,3.39,T+01h 11m,1.2,3.66,Low Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
